comment_text,toxic
"""
 
 Re-considering 1st paragraph edit?
 I don't understand the reasons for 's recent edit of this article not that I'm sure that the data are necessarily """"wrong."""" Rather, I'm persuaded that the strategy of introducing academic honors in the first paragraph is an unhelpful approach to this specific subject. I note that articles about other sitting Justices have been similarly """"enhanced;"""" and I also believe those changes are no improvement. 
 
 In support of my view that this edit should be reverted, I would invite anyone to re-visit articles written about the following pairs of jurists.
  A1. Benjamin Cardozo
  A2. Learned Hand
 
  B1. John Marshall Harlan
  B2. John Marshall Harlan II
 
 The question becomes: Would the current version of the Wikipedia article about any one of them or either pair be improved by academic credentials in the introductory paragraph? I think not.
 
 Perhaps it helps to repeat a wry argument Kathleen Sullivan of Stanford Law makes when she suggests that some on the Harvard Law faculty wonder how Antonin Scalia avoided learning what others have managed to grasp about the processes of judging? I would hope this anecdote gently illustrates the point. 
 
 Less humorous, but an even stronger argument is the one Clarence Thomas makes when he mentions wanting to return his law degree to Yale.
 
 At a minimum, I'm questioning this edit? It deserves to be reconsidered. """,0
"Bye! 
 
 Don't look, come or think of comming back! Tosser.",1
"How could I post before the block expires? The funny thing is, you think I'm being uncivil!",0
Not sure about a heading of 'Fight for Freedom' what will it contain?,0
"Praise 
 
 looked at this article about 6 months ago -much improved. ]",0
"I was able to post the above list so quickly because I already had it in a text file in my hard drive I've been meaning to get around to updating the sound list for some time now. 
 As far as generating interest I've spent four years trying to drum up more interest in freely licensed full length classical music. Unfortunately, my attempts failed - I'm still effectively the only one who does it. The classical music wikiproject was not interested, (Wikipedia_talk:WikiProject_Classical_music/Archive_5#Need_help.21Wikipedia_talk:WikiProject_Music/Archive_3#I_could_use_some_helpWikipedia_talk:WikiProject_Music/Archive_2#Raulbot.2C_and_the_music_list) So I really had given up trying to interest others. 
 The sound list was featured on digg a while back - http://digg.com/music/Wikipedia_has_free_classical_music_downloads . It got 1600 diggs, which is IMO very impressive.",0
"""
 Well, not """"before the process"""" but """"before how we do things with subpages"""" His RfA is listed on NoSeptember's page and you can find it if you look. September 2004 I think. I have my differences with El_C to be sure, but was surprised to see a block, so I left a note. ++: t/c """,0
"""
 
 Not at all, you are making a straw man argument here. I never claimed O'Donohue had that position, rather that practitioners and researchers in the field ignored the DSM position, which is exactly what the quote says and also something O'Donohue agrees with. 
 
 Again, I was combating the notion that it was a """"absurd part"""" to claim that pedophilia is a sexual orientation. Since many researchers hold this position, it would be unfair to call it absurd. The disorder part is divided in the field, some argue that it is not a disorder at all, some do. At the end of the day, it is a value judgment (as Cantor pointed out earlier in the thread), not a scientific judgement. If we choose to make this value judgment in the article, it should be stated clearly and not pretend to have a scientific basis. """,0
"Your blatant POV pushing 
 
 Neither of you guys has made any contribution to this Italian history article other than to shove your unhistorical unconstructive modern POV in my face.
 This is a HISTORY article. HISTORY.
 Have you heard of that?
 This is the reason why so many people get pissed off about the pedantry and idiocy and triviality of Wikipedia.
 ",1
"pretty much everyone from warren county/surrounding regions was born at glens falls hospital. myself included. however, i'm not sure this qualifies anyone as being a glens falls native. rachel ray is, i believe, actually from the town of lake luzerne. Ã¢â‚¬â€The preceding unsigned comment was added by 70.100.229.154 04:28:57, August 19, 2007 (UTC)",0
"Would you both shut up, you don't run wikipedia.",1
"Oh, it's me vandalising?xD See here. Greetings,",0
"Website 
 
 Hey all,
 I was thinking of getting myself a website to display my pictures and this was the cheapest thing I could find. I don't know about others, but Fir and Diliff, you guys have websites, do you think it is legit? Could you provide any better alternatives? Help from any other guild member is also appreciated. Thanks (talk)",0
Thanks reading there now !,0
"Personal attacks in Fruit Brute VfD 
 
 My apologies if I'm being to critical, but I feel that many of the comments made in the Fruit Brute VfD debate were far from reasonable. There had to be a more diplomatic way to disagree with 's assertion on the initial sentence than don't lie, it makes you look even more juvenile.... Learn to face up to when you've goofed, it will go a long way in your life The attacks do to his age certainly border on a personal attack. Were Bart133 forty, sixty, or eighty, would you have included the comment on how 'juvenile' he is?
 
 I don't expect you to apologise to anyone, but I want to make it clear that I consider your comments in this VfD debate inappropriate, and I think their are many members of the community who would agree with me. talk 06:46, 2005 Feb 7 (UTC)",0
"Transliteration of Russian place names
 In writing about Moscow Metro for the Malayalam Wikipedia, we are finding it difficult to correctly transliterate the Russian place names. For example, do we pronounce Park Kultury as PAARK KALTTARI or PAARK KALCHCHARI (or perhaps something completely different)? Can somebody please help by transliterating the list given in https://ml.wikipedia.org/wiki/Ã Â´Â¸Ã Â´â€šÃ Â´ÂµÃ Â´Â¾Ã Â´Â¦Ã Â´â€š:Ã Â´Â®Ã Âµâ€¹Ã Â´Â¸Ã ÂµÂÃ Â´â€¢Ã Âµâ€¹_Ã Â´Â®Ã Âµâ€ Ã Â´Å¸Ã ÂµÂÃ Â´Â°Ã Âµâ€¹. (I am not putting the list here as I don't want to clutter up this page.) Thanks",0
Atheism is full of bias waste,1
How can one defame someone who thinks the Fort Hood Shooting is justified by God's law?,0
"LACK OF BALANCE
 
 This article is seriously out of balance. It would benefit greatly from the introduction of additional information about the negative aspects of the T-34. Just for the record, this sort of balance problem is not uncommon when there is an over dependence on the works of a particular author. For example, testing and evaluation of a T-34 by the US Army Ordnance Dept. exposed some very serious problems with the tank. This type of information should be included in the article to bring it back into balance.",0
"Sorry about that. I had checked, but had only come up with Dulas Bay. Somehow I had missed the Dulas disambiguation page completely. Apologies again, it's not even as if it was getting particularly late at night! The onset of swine flu perhaps?",0
"TCM 
 
 I can find no evidence that acupressure is a TCM, rather than derived from TCM. If no one objects I'll place a citation note in the article.",0
"Well, it still needs expansion in areas, citations in others, more images (was going to get a pic of the Stanley Cup banner tonight at the Hitmen game, but forgot my camera) and a thorough review/copy edit by someone with a better flair for words than I, but work progresses. lute",0
"A redirect somewhere couldn't hurt, though I still don't think any o the candidates are ideal. But then if he passes the notability threshold some day the basic material is still there to work with.",0
"Meivazhi
 I've had a go at restarting the Meivazhi article in a style that's more standard for Wikipedia articles. Someone would probably have deleted it pretty quickly if it had stayed in the form you posted. I'd be grateful if you could help at Talk:Meivazhi about the accuracy. 
 
 Unfortunately I had to remove your links. The conflict of interest guidelines advise against editors linking to their own sites, and also Wikipedia's attribution policy WP:ATT requires that information should come from third-party published sources rather than personal websites. Do you know of any good newspaper/book accounts of Meivazhi? 
 
 PS What is the salaimanimudi.indlist.com site? A personal site by a member?",0
"Though this is certainly a small article, but it is not so inconsequential as to warrant subsuming it within the Flame Trees article. 
 
 It is a discography article, and should stand alone.
 
  22 May 2005",0
"Yeah, let's merge the content. (Not sure if Devil's Canyon is the same type of codename.)",0
"""
 
  Image:YourTransitAd.jpg 
 
 I think I may be able to get a better photo of this ad. If I'm able to do that, is it okay if I use it to replace this current one? I want to check with you first before doing anything. -Ã¢â€ â€™Ã¢â€žÂ¢/?! """,0
"""
 
  A cookie for you! 
 
  A cookie for you """,0
"LMAO, what a n00b. Go and listen to manele!",0
"06, 29 December 2007 (UTC)
 Yep. LOL, the [[Reformist Party (Serbia)|Reformist Party] is having another go (the 20th very last on the parliamentary election, winning less votes than notable to actually be mentioned). ) 
 By the way, here's something very little people have figured out - the new Constitution of Serbia has been brought to enable Kosovo' secession. The 1990 Constitution barred that as a possibility, and after the Kumanovo Military-Technical Agreement was signed between NATO and FRY the SRS broke its coalition with SPS and the government collapsed, causing new elections - because that was unconstitutional, as an act of highest treason, enough to be tried from maximum sentence (which the Radicals demanded from then to his death, to have a trial in Serbia, and to be tried for treason among other reasons). This constitution releases the authorities from that weight, and they won't have to go to prison if they recognize any form of further loss of sovereignty in Kosovo. ;) 15",0
"New WikiProject Novels initiative
 We have begun a new initiative at the WikiProject Novels: an improvement drive. As a member listed here, you are being notified. Please see Wikipedia talk:WikiProject Novels#5-5-5 Improvement Drive and Wikipedia:WikiProject Novels/Collaboration for more details. Also I would like to remind you to keep an eye on the project talk page at Wikipedia talk:WikiProject Novels. Thanks,",0
"""
 
 UNBLOCK ME OR I'LL GET MY LAWYERS ON TO YOU FOR BLOCKING MY CONSTITUTIONAL RIGHT TO FREE SPEECH""",1
"""== Attributing and classifying of personalities == 
 Invitation. Your input to Culture of Lithuania is welcomed. 
 Some problems of defining personalities or attributing them to certain well-known ideological systems may raise here. I propose a quite liberal variant of it, where definition may not be connected with one certain word. Necessity however to follow certain classifying remains. 
 
 My initial ideas on this branch, the ones, concerning period of Lithuanian national Renaissance period: Some artists, writers or other cultural workers of this period are often described as modernists. This definition is not false, but some more concrete things should be added, some specifics of Lithuania. 
 We should distinguish leading ideas of the Nat. Renaissance from later modernism, which is more known for us. Cultural aspirations of the later Nat. Ren. may be defined as modernism in a cultural context of Lithuania. But they accented also expression of Lithuanian cultural heritage, and their expression may be seen as something simply typically Lithuanian. I mean, that such authors in as Ã„Å’iurlionis is seen as modernist in Lithuanian context, but it also (and even more) is a representative of Lithuanian culture, when in European or World-wide context. A parallel example may be taken from literature of India. Poet Tagore, well known Nobel price winner is known for us as a representative of culture of India. Making India more understandable and closer for western people is concerned as main his input to Western culture. But in his own country, he was seen as a modernist too, who was changing traditional cultural forms, especially stagnated ones. This way also Lithuanian cultural leaders of the N. Ren. could be seen as modernists, which were broadening cultural forms and changing stagnated ones, in Lithuanian context. They also can be seen as modernists in a wider context, but more for acquainting Western people with Lithuanian culture than for their direct input into Western culture. Ã„Å’iurlionis is the best example here. 
 In other way, the later Lithuanian modernists (they depended mostly to later generation, approximately from 4th decade of the 20th century) concerned themselves part of Western modernistic movement and their main purpose (looking generally) was to introduce Western European ideas into Lithuanian cultural life (see the table below). 
 We see two different movements and two different world outlooks here. The problem is, that both movements collaborated, especially their political wings did, and interchange of ideas between them is well seen. So, many researchers don't pay attention to this difference. Especially in the Soviet period, when national ideas were officially forbidden, mixture in description of these movements was allowed. E. g. philosopher RamÃ…Â«nas Bytautas, who clearly depends to the first generation, is often described as liberal. And it may be understood in a sense of the second generation (as idea of liberalism).
  
 
  period and generation artists, writers, philosophers etc in a context of Lithuania in an European context The National Renaissance period, the younger generation, approx 1905 Ã¢â‚¬â€œ 1930 painter and composer Ã„Å’iurlionis, painter Kazys Ã… imonis, poet and philosopher Vilius Storastas - VydÃ…Â«nas, dramatist Sofija KymantaitÃ„â€” - Ã„Å’iurlionienÃ„â€”, poets Adomas JakÃ…Â¡tas, Motiejus Gustaitis, Liudas Gira, composer Stasys Ã… imkus, philosopher RamÃ…Â«nas Bytautas. reformers and innovators of Lithuanian culture Representatives of Lithuanian culture, almost unknown before them. The period between WWI and WWII and post-war years. poets V Mykolaitis - Putinas, Kazys Binkis, writer Ignas Ã… einius Ã¢â‚¬â€œ JurkÃ…Â«nas, artists: all 'ars' group, philosopher Juozas Girnius Modernists, introducing new Western ideas into Lithuanian cultural life Central European modernism. 
 Note: Lists of personalities isn't complete here, nor it's made precisely by prominence. 
  07:51, 2004 Jul 16 (UTC)
 
 """,0
"""
 
 Actually, direct quotes that aren't in quotation marks and aren't attributed are generally known as """"plagiarism"""" and/or """"copyright infringement."""" But the NYT material isn't the issue, as you well know. The material from the """"Jewish Action Taskforce"""" is the problem. """,0
"""
 Katelyn Faber
 Could you weigh in at the bottom of the Talk Page for Katelyn Faber regarding the inclusion of an image of her? 
 
  Template:User Totalbox 
 
 Thanks for reverting. 
 
  Esperanza Newsletter, Issue #1 
 {| style=""""border-spacing:8px;margin:0px -8px"""" width=""""100%""""
 |class=""""MainPageBG"""" style=""""width: 55%; border:1px solid #cef2e0; background-color:#f5fffa; vertical-align:top;color:#000""""|
  Reach outReach out is a program aimed at allowing users to bring issues that they have had in Wikipedia to a listening, sympathetic and caring audience:
  """"No one can know how we feel if we do not say. We cannot expect to get understanding if we do not ask for it. No one will dispute that sometimes life's issues are too much for one person. It is fair to say that sometimes Wikipedia's problems fall under the same heading. This is a place where you can bring the bruises that can sometimes be got on this project for attention."""" Stress AlertsThe Stress alerts program aims at identifying users who are stressed, alerting the community of thier stress and works in tandem with the Stressbusters at trying to identify causes of stress and eliminating them. Note from the editorWelcome to this new format of the Esperanza Newsletter, which came about during the last Advisory Council meeting - we hope you like it! The major changes are that each month, right after the Council meeting, this will be sent out and will include two featured programs and a sum up of the meeting. Also, it will be signed by all of the Advisory Council members, not just . Have an Esperanzial end of March, everyone!
 |class=""""MainPageBG"""" style=""""width: 45%; border:1px solid #cedff2; background-color:#f5faff; vertical-align:top""""|
 {| width=""""100%"""" cellpadding=""""2"""" cellspacing=""""5"""" style=""""vertical-align:top; background-color:#f5faff""""
 ! The last AC meeting (full log)
 |-
 |style=""""color:#000""""|
  Future meetings are to be held monthly, not fortnightly as before.
  Bans and Access level changes (apart from autovoice) in the IRC channel are to be reported at the new log.
  In the IRC channel, there is going to be only one bot at a time.
  The charter requires members to have 150 edits and 2 weeks editing. Why this is the case will be clarified.
  A new Code of Conduct will be drafted by and proposed to the Esperanza community.
  The NPA reform idea is to be dropped officially.
  Charter ammendments are to be discussed in future, not voted on.
  The Advisory Council is not going to be proposed to be expanded by the Advisory Council themselves, if others want to propose it, they will listen.
 |-
 !",0
"Fradulent claim 
 
 I am most certainly not a sockpuppet of TheChief, please retract your fradulent claim at once.",0
That is quick if we only limit the discussion for changing the title but considering the previous discussions for months can have a valid reason for the move.,0
"""
 
  123 18:38, July 18, 2005 (UTC)
 
 P.S. Feel free to leave a message on my talk page if you need help with anything or simply wish to say hello. )""",0
"And, of course, Peiser is more than just a social anthropologist. He's one whose recent research has focused primarily on the social aspects of climate change and is thus at least as qualified to comment on the state of consensus as a historian. Regarding his study, it hasn't been published in a peer-reviewed journal, but the results have appeared in many reliable sources. In effect, it should be treated no differently than as if Peiser himself (or any other scientist) had verbally relayed the conclusions directly to a reporter. Literally tens of thousands of Wiki articles contain such references direct quotes from scientists, which appear in no other source but through the medium of a reputable reporter.",0
